,query,jieba_pos,jieba_segment,jieba_keywords,tfidf_keywords,textrank_keywords,Unnamed: 0,text_rank_keywords
258,什么样的恶露不正常。,恶露/v,恶露,恶露,恶露,,258,恶露
259,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,259,发育 指标 宝宝
260,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,260,发育 指标 宝宝
261,恶露颜色由黄色变成红色正常吗？,恶露/v 颜色/n 黄色/n 红色/n,恶露 颜色 黄色 红色,恶露 黄色 红色 颜色,黄色 恶露 红色 颜色,黄色 颜色 恶露 红色,261,黄色 颜色 红色 恶露
262,什么样的恶露不正常。,恶露/v,恶露,恶露,恶露,,262,恶露
263,恶露都是血还是？,恶露/v 血/n,恶露 血,恶露,恶露,,263,血 恶露
264,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,264,发育 指标 宝宝
265,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,265,发育 指标 宝宝
266,恶露什么样才算排放完整？,恶露/v 算/v 排放/v 完整/a,恶露 算 排放 完整,恶露 排放 完整,恶露 排放 完整,排放 恶露 完整,266,排放 算 完整 恶露
267,产后恶露。,产后/n 恶露/v,产后 恶露,恶露 产后,产后 恶露,恶露 产后,267,恶露 产后
268,孕妇可以使用直板夹吗？,孕妇/n 直板/n 夹/n,孕妇 直板 夹,直板 孕妇,孕妇 直板,直板 孕妇,268,直板 夹 孕妇
269,跟我说宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,269,发育 指标 宝宝
270,孕妇可以使用直板夹吗？,孕妇/n 直板/n 夹/n,孕妇 直板 夹,直板 孕妇,孕妇 直板,直板 孕妇,270,直板 夹 孕妇
271,孕妇可以使用直板夹吗？,孕妇/n 直板/n 夹/n,孕妇 直板 夹,直板 孕妇,孕妇 直板,直板 孕妇,271,直板 夹 孕妇
272,宝宝打预防针的地方一个月了还硬邦邦的，有没有关系？,宝宝/nr 打预防针/l 地方/n 一个月/m 硬邦邦的/z 有没有/v 关系/n,宝宝 打预防针 地方 一个月 硬邦邦的 有没有 关系,打预防针 硬邦邦的 宝宝 有没有 一个月 关系 地方,宝宝 一个月 有没有 打预防针 关系 硬邦邦的 地方,硬邦邦的 地方 一个月 打预防针,272,一个月 硬邦邦的 地方 有没有 打预防针 关系 宝宝
273,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,273,发育 指标 宝宝
274,哺乳妈妈可以吃牛血吗？,哺乳/n 妈妈/n 吃/v 牛血/n,哺乳 妈妈 吃 牛血,牛血 哺乳 妈妈,妈妈 哺乳 牛血,妈妈 牛血 哺乳,274,吃 妈妈 牛血 哺乳
275,哺乳妈妈可以吃牛留血吗？,哺乳/n 妈妈/n 吃/v 牛/n 留血/v,哺乳 妈妈 吃 牛 留血,留血 哺乳 妈妈,妈妈 哺乳 留血,妈妈 哺乳,275,吃 牛 妈妈 留血 哺乳
276,哺乳妈妈可以吃流血吗？,哺乳/n 妈妈/n 吃/v 流血/v,哺乳 妈妈 吃 流血,哺乳 流血 妈妈,妈妈 哺乳 流血,妈妈 流血 哺乳,276,吃 妈妈 流血 哺乳
277,宝宝童益生菌后三天拉肚子。,宝宝/nr 童/nr 益生菌/nr 三天/m 拉肚子/n,宝宝 童 益生菌 三天 拉肚子,益生菌 拉肚子 宝宝 三天,宝宝 拉肚子 益生菌 三天,益生菌 拉肚子 三天 宝宝,277,益生菌 三天 童 拉肚子 宝宝
278,多走路对孕妇有好处吗？,走路/n 孕妇/n 好处/d,走路 孕妇 好处,孕妇 走路 好处,孕妇 好处 走路,走路 孕妇 好处,278,孕妇 好处 走路
279,多运动对孕妇有好处吗？,运动/vn 孕妇/n 好处/d,运动 孕妇 好处,孕妇 好处 运动,孕妇 好处 运动,运动 孕妇 好处,279,孕妇 好处 运动
280,宝宝拉肚子怎么办？,宝宝/nr 拉肚子/n,宝宝 拉肚子,拉肚子 宝宝,宝宝 拉肚子,拉肚子 宝宝,280,拉肚子 宝宝
281,两周岁宝宝发烧怎么办？,两周岁/m 宝宝/nr 发烧/v,两周岁 宝宝 发烧,两周岁 发烧 宝宝,宝宝 发烧 两周岁,宝宝 发烧 两周岁,281,宝宝 发烧 两周岁
282,月子餐可以吃盐吗？,月子餐/x 吃盐/n,月子餐 吃盐,月子餐 吃盐,月子餐 吃盐,月子餐 吃盐,282,吃盐 月子餐
283,流血常母乳，妈妈可以吃吗？,流血/v 常/d 母乳/n 妈妈/n 吃/v,流血 常 母乳 妈妈 吃,母乳 流血 妈妈,母乳 妈妈 流血,母乳 流血 妈妈,283,母乳 妈妈 常 吃 流血
284,宝宝长牙齿可以用手摸。,宝宝/nr 长/a 牙齿/n 手摸/v,宝宝 长 牙齿 手摸,手摸 宝宝 牙齿,宝宝 牙齿 手摸,牙齿 宝宝 手摸,284,牙齿 长 手摸 宝宝
285,两周岁宝宝发烧怎么办？,两周岁/m 宝宝/nr 发烧/v,两周岁 宝宝 发烧,两周岁 发烧 宝宝,宝宝 发烧 两周岁,宝宝 发烧 两周岁,285,宝宝 发烧 两周岁
286,宝宝长牙齿可以用手摸摸。,宝宝/nr 长/a 牙齿/n 用/p 手/s 摸摸/v,宝宝 长 牙齿 用手 摸摸,摸摸 宝宝 牙齿 用手,宝宝 牙齿 摸摸 用手,牙齿 宝宝,286,牙齿 用手 长 摸摸 宝宝
287,产褥期有炎症。,产褥期/n 炎症/n,产褥期 炎症,产褥期 炎症,炎症 产褥期,炎症 产褥期,287,炎症 产褥期
288,两周岁九个月宝宝发烧吃了瑞芝清多长时间能退烧？,两周岁/m 九个月/x 宝宝/nr 发烧/v 吃/v 瑞芝/nrt 清/a 多长时间/n 退烧/v,两周岁 九个月 宝宝 发烧 吃 瑞芝清 多长时间 退烧,两周岁 九个月 瑞芝清 退烧 多长时间 发烧 宝宝,宝宝 发烧 多长时间 九个月 两周岁 退烧 瑞芝清,发烧 宝宝 九个月 多长时间,288,吃 发烧 瑞芝清 宝宝 多长时间 九个月 退烧 两周岁
289,月子餐可以吃盐吗？,月子餐/x 吃盐/n,月子餐 吃盐,月子餐 吃盐,月子餐 吃盐,月子餐 吃盐,289,吃盐 月子餐
290,流血常母乳，妈妈可以吃吗？,流血/v 常/d 母乳/n 妈妈/n 吃/v,流血 常 母乳 妈妈 吃,母乳 流血 妈妈,母乳 妈妈 流血,母乳 流血 妈妈,290,母乳 妈妈 常 吃 流血
291,月子餐可不可以只眼？,月子餐/x 可不可以/c 只眼/d,月子餐 可不可以 只眼,月子餐 只眼 可不可以,可不可以 月子餐 只眼,月子餐 可不可以 只眼,291,可不可以 只眼 月子餐
292,电子仓可不可以吃盐？,电子/n 仓/nr 可不可以/c 吃盐/n,电子 仓 可不可以 吃盐,吃盐 可不可以 电子,可不可以 吃盐 电子,可不可以 电子 吃盐,292,可不可以 仓 吃盐 电子
293,坐月子有炎症可以吃什么药？,坐月子/n 炎症/n 吃/v 药/n,坐月子 炎症 吃 药,坐月子 炎症,坐月子 炎症,炎症 坐月子,293,吃 炎症 药 坐月子
294,两周岁九个月的宝宝发烧到39度8三十八三十八度9，此谓之清。,两周岁/m 九个月/x 宝宝/nr 发烧/v 39/m 度/zg 8/x 三十八/m 三十八/m 度/zg 9/x 此谓/l 之/u 清/a,两周岁 九个月 宝宝 发烧 39 度 8 三十八 三十八 度 9 此谓 之清,三十八 两周岁 九个月 39 之清 此谓 发烧 宝宝,宝宝 发烧 九个月 两周岁 39 此谓 之清 三十八,宝宝 发烧 九个月 三十八,294,三十八 度 8 39 9 发烧 宝宝 此谓 九个月 之清 两周岁
295,母乳妈妈可以吃牛肉写吗？,母乳/n 妈妈/n 吃/v 牛肉/n 写/v,母乳 妈妈 吃 牛肉 写,母乳 牛肉 妈妈,母乳 妈妈 牛肉,妈妈 母乳 牛肉,295,吃 牛肉 妈妈 写 母乳
296,流入血能吃吗？,流入/v 血能/n 吃/v,流入 血能 吃,血能 流入,流入 血能,血能 流入,296,血能 吃 流入
297,白云山缓释牙痛添哺乳期能不能用？,白云山/nr 缓释/v 牙痛/n 添/v 哺乳期/n,白云山 缓释 牙痛 添 哺乳期,缓释 牙痛 哺乳期 白云山,哺乳期 缓释 白云山 牙痛,牙痛 缓释 白云山 哺乳期,297,牙痛 添 缓释 哺乳期 白云山
298,白云山缓释牙疼天能不哺乳期能不能用？,白云山/nr 缓释/v 牙疼/v 天能/n 哺乳期/n,白云山 缓释 牙疼 天能 哺乳期,天能 缓释 牙疼 哺乳期 白云山,哺乳期 缓释 白云山 天能 牙疼,牙疼 缓释 天能 白云山,298,牙疼 天能 缓释 哺乳期 白云山
299,怀孕几周可以做B超？能显示正常与不正常？,怀孕/v 几周/m B超/n 显示/v,怀孕 几周 B超 显示,B超 几周 怀孕 显示,怀孕 显示 几周,几周 B超 怀孕 显示,299,B超 几周 显示 怀孕
300,宝宝缺钙吃什么？,宝宝/nr 缺钙/n 吃/v,宝宝 缺钙 吃,缺钙 宝宝,宝宝 缺钙,缺钙 宝宝,300,缺钙 吃 宝宝
301,板栗能不能吃？,板栗/n 吃/v,板栗 吃,板栗,板栗,,301,吃 板栗
302,怀孕，荨麻疹怎么办？,怀孕/v 荨麻疹/n,怀孕 荨麻疹,荨麻疹 怀孕,怀孕 荨麻疹,荨麻疹 怀孕,302,荨麻疹 怀孕
303,润生荨麻疹怎么办？,润生/v 荨麻疹/n,润生 荨麻疹,润生 荨麻疹,荨麻疹 润生,荨麻疹 润生,303,荨麻疹 润生
304,孕妇能不能吃鸡胗？,孕妇/n 吃/v 鸡胗/x,孕妇 吃 鸡胗,鸡胗 孕妇,孕妇 鸡胗,鸡胗 孕妇,304,吃 鸡胗 孕妇
305,美赞臣的奶粉是不是很上火？,美赞臣/nr 奶粉/n 上火/v,美赞臣 奶粉 上火,美赞臣 上火 奶粉,奶粉 上火 美赞臣,美赞臣 奶粉 上火,305,奶粉 上火 美赞臣
306,怀孕13周加一天能不能吃多种维生素矿物质片？孕妇早期型。,怀孕/v 13/m 周加/nr 吃/v 多种/m 维生素/nr 矿物质/n 孕妇/n 早期/t 型/k,怀孕 13 周加 吃 多种 维生素 矿物质 孕妇 早期 型,13 周加 矿物质 孕妇 怀孕 维生素 早期 多种,怀孕 孕妇 多种 早期 矿物质 维生素 周加 13,矿物质 周加 多种 孕妇,306,维生素 多种 矿物质 吃 孕妇 周加 早期 13 型 怀孕
307,汤臣倍健多种维生素矿物质片，孕妇早期型汤臣倍健鱼油牛磺酸软胶囊dha能不能同时吃？,汤臣/nr 倍/m 健/a 多种/m 维生素/nr 矿物质/n 孕妇/n 早期/t 型/k 汤臣/nr 倍/m 健/a 鱼油/n 牛磺酸/n 软胶囊/n dha/x 吃/v,汤臣 倍 健 多种 维生素 矿物质 孕妇 早期 型 汤臣 倍 健 鱼油 牛磺酸 软胶囊 dha 吃,汤臣 软胶囊 牛磺酸 dha 鱼油 矿物质 孕妇 维生素 早期 多种,孕妇 矿物质 维生素 多种 早期 dha 鱼油 软胶囊 牛磺酸 汤臣,矿物质 软胶囊 牛磺酸 早期,307,倍 健 汤臣 多种 鱼油 型 维生素 牛磺酸 早期 矿物质 孕妇 软胶囊 dha 吃
308,宝宝拉粑粑总是幽默，是怎么回事儿啊？,宝宝/nr 拉/v 粑粑/x 幽默/a 回事儿/n,宝宝 拉 粑粑 幽默 回事儿,粑粑 回事儿 幽默 宝宝,宝宝 回事儿 粑粑 幽默,粑粑 幽默 回事儿 宝宝,308,粑粑 幽默 拉 回事儿 宝宝
309,宝宝发烧。,宝宝/nr 发烧/v,宝宝 发烧,发烧 宝宝,宝宝 发烧,宝宝 发烧,309,发烧 宝宝
310,宝宝拉粑粑总是幽默，是怎么回事儿呢？,宝宝/nr 拉/v 粑粑/x 幽默/a 回事儿/n,宝宝 拉 粑粑 幽默 回事儿,粑粑 回事儿 幽默 宝宝,宝宝 回事儿 粑粑 幽默,粑粑 幽默 回事儿 宝宝,310,粑粑 幽默 拉 回事儿 宝宝
311,宝宝拉粑粑总是幽默，是怎么回事儿啊？,宝宝/nr 拉/v 粑粑/x 幽默/a 回事儿/n,宝宝 拉 粑粑 幽默 回事儿,粑粑 回事儿 幽默 宝宝,宝宝 回事儿 粑粑 幽默,粑粑 幽默 回事儿 宝宝,311,粑粑 幽默 拉 回事儿 宝宝
312,宝宝发烧。,宝宝/nr 发烧/v,宝宝 发烧,发烧 宝宝,宝宝 发烧,宝宝 发烧,312,发烧 宝宝
313,宝宝拉粑粑总是幽默，是怎么回事儿呢？,宝宝/nr 拉/v 粑粑/x 幽默/a 回事儿/n,宝宝 拉 粑粑 幽默 回事儿,粑粑 回事儿 幽默 宝宝,宝宝 回事儿 粑粑 幽默,粑粑 幽默 回事儿 宝宝,313,粑粑 幽默 拉 回事儿 宝宝
314,宝宝11个月流清鼻涕。,宝宝/nr 11/m 月/m 流清/v 鼻涕/n,宝宝 11 月 流清 鼻涕,11 流清 鼻涕 宝宝,宝宝 鼻涕 11 流清,流清 11 鼻涕 宝宝,314,月 流清 11 鼻涕 宝宝
315,长疱疹怎么办？,长/a 疱疹/n,长 疱疹,疱疹,疱疹,,315,疱疹 长
316,两个月的小宝宝流鼻涕怎么办？,两个月/x 小宝宝/nr 流鼻涕/n,两个月 小宝宝 流鼻涕,两个月 小宝宝 流鼻涕,流鼻涕 两个月 小宝宝,流鼻涕 小宝宝 两个月,316,小宝宝 流鼻涕 两个月
317,三个月的宝宝拉粑粑总是有莫是怎么回事儿。,三个月/x 宝宝/nr 拉/v 粑粑/x 有/v 莫/d 是/v 回事儿/n,三个月 宝宝 拉 粑粑 有莫是 回事儿,粑粑 三个月 有莫是 回事儿 宝宝,宝宝 三个月 回事儿 粑粑 有莫是,宝宝 粑粑 三个月,317,粑粑 拉 有莫是 宝宝 回事儿 三个月
318,长疱疹怎么办？,长/a 疱疹/n,长 疱疹,疱疹,疱疹,,318,疱疹 长
319,11个月宝宝总是爱磨牙，是怎么回事啊？,11/m 月/m 宝宝/nr 爱/v 磨牙/n 怎么回事/l,11 月 宝宝 爱 磨牙 怎么回事,11 磨牙 宝宝 怎么回事,宝宝 怎么回事 11 磨牙,磨牙 宝宝 怎么回事 11,319,爱 宝宝 磨牙 月 怎么回事 11
320,小宝宝鼻子流鼻涕怎么办？,小宝宝/nr 鼻子/n 流鼻涕/n,小宝宝 鼻子 流鼻涕,小宝宝 流鼻涕 鼻子,流鼻涕 鼻子 小宝宝,鼻子 流鼻涕 小宝宝,320,鼻子 流鼻涕 小宝宝
321,鼻子里流鼻涕怎么办小宝宝。,鼻子/n 流鼻涕/n 小宝宝/nr,鼻子 流鼻涕 小宝宝,小宝宝 流鼻涕 鼻子,流鼻涕 鼻子 小宝宝,鼻子 流鼻涕 小宝宝,321,流鼻涕 小宝宝 鼻子
322,小宝宝鼻子流鼻涕。,小宝宝/nr 鼻子/n 流鼻涕/n,小宝宝 鼻子 流鼻涕,小宝宝 流鼻涕 鼻子,流鼻涕 鼻子 小宝宝,鼻子 流鼻涕 小宝宝,322,鼻子 流鼻涕 小宝宝
323,宝宝鼻子不通气可以洗澡吗？,宝宝/nr 鼻子/n 通气/n 洗澡/v,宝宝 鼻子 通气 洗澡,通气 洗澡 宝宝 鼻子,宝宝 鼻子 通气 洗澡,鼻子 通气 宝宝 洗澡,323,通气 鼻子 洗澡 宝宝
324,妊娠期糖尿病能喝安满奶粉吗？,妊娠期/t 糖尿病/n 喝/vg 安满/nr 奶粉/n,妊娠期 糖尿病 喝安满 奶粉,喝安满 奶粉 妊娠期 糖尿病,奶粉 糖尿病 喝安满 妊娠期,糖尿病 安满 妊娠期 奶粉,324,喝安满 糖尿病 奶粉 妊娠期
325,14个月的宝宝喝奶粉一次喝多少？,1/x 4个月/x 宝宝/nr 喝/vg 奶粉/n 喝/vg,1 4个月 宝宝 喝 奶粉 喝,4个月 奶粉 宝宝,宝宝 奶粉 4个月,宝宝 4个月 奶粉,325,喝 奶粉 宝宝 4个月 1
326,宝宝消化不良有什么症状？,宝宝/nr 消化不良/l 症状/n,宝宝 消化不良 症状,消化不良 宝宝 症状,宝宝 消化不良 症状,症状 消化不良 宝宝,326,消化不良 症状 宝宝
327,宝宝腹泻怎么办？,宝宝/nr 腹泻/v,宝宝 腹泻,腹泻 宝宝,宝宝 腹泻,腹泻 宝宝,327,腹泻 宝宝
328,嗯，手冢和脚肿该怎么办？,手/n 冢/ng 脚肿/x,手 冢 脚肿,脚肿,脚肿,,328,冢 脚肿 手
329,母乳在乳房里八个小时还可以喂宝宝吗？,母乳/n 乳房/n 八个/m 小时/n 宝宝/nr,母乳 乳房 八个 小时 宝宝,母乳 乳房 宝宝 八个 小时,宝宝 母乳 乳房 小时 八个,八个 小时 乳房 母乳,329,八个 小时 乳房 宝宝 母乳
330,白天上班八个小时没有喂奶，乳房里面的奶还可以吃吗？,白天/t 上班/v 八个/m 小时/n 喂奶/v 乳房/n 奶/zg 吃/v,白天 上班 八个 小时 喂奶 乳房 奶 吃,喂奶 乳房 八个 上班 白天 小时,乳房 小时 八个 白天 上班 喂奶,小时 八个 喂奶 上班,330,喂奶 小时 乳房 八个 奶 上班 吃 白天
331,心里早就和吃不吃西洋参有什么冠联吗？,早就/d 吃/v 不吃/v 西洋参/nr 冠联/nz,早就 吃 不吃 西洋参 冠联,冠联 西洋参 不吃 早就,不吃 冠联 西洋参 早就,不吃 西洋参 冠联 早就,331,不吃 西洋参 吃 冠联 早就
332,宝宝发烧。,宝宝/nr 发烧/v,宝宝 发烧,发烧 宝宝,宝宝 发烧,宝宝 发烧,332,发烧 宝宝
333,宝宝18个月晚上还吃奶粉吗？,宝宝/nr 1/x 8个月/x 晚上/t 吃/v 奶粉/n,宝宝 1 8个月 晚上 吃 奶粉,8个月 奶粉 宝宝 晚上,宝宝 奶粉 晚上 8个月,晚上 8个月 宝宝 奶粉,333,晚上 8个月 吃 1 奶粉 宝宝
334,宝宝18个月晚上还吃奶粉吗？,宝宝/nr 1/x 8个月/x 晚上/t 吃/v 奶粉/n,宝宝 1 8个月 晚上 吃 奶粉,8个月 奶粉 宝宝 晚上,宝宝 奶粉 晚上 8个月,晚上 8个月 宝宝 奶粉,334,晚上 8个月 吃 1 奶粉 宝宝
335,怀孕期间可不可以吃豫竹干吃面？,怀孕/v 期间/f 可不可以/c 吃/v 豫/j 竹/ng 干/v 吃/v 面/n,怀孕 期间 可不可以 吃豫竹 干吃面,吃豫竹 干吃面 可不可以 怀孕 期间,怀孕 期间 可不可以 吃豫竹 干吃面,期间 怀孕 可不可以,335,可不可以 吃豫竹 期间 干吃面 怀孕
336,宝宝消化不良有什么症状？,宝宝/nr 消化不良/l 症状/n,宝宝 消化不良 症状,消化不良 宝宝 症状,宝宝 消化不良 症状,症状 消化不良 宝宝,336,消化不良 症状 宝宝
337,孕妇可以吃菠萝吗？,孕妇/n 吃/v 菠萝/n,孕妇 吃 菠萝,菠萝 孕妇,孕妇 菠萝,菠萝 孕妇,337,吃 菠萝 孕妇
338,宝宝受凉了怎么办？,宝宝/nr 受凉/v,宝宝 受凉,受凉 宝宝,宝宝 受凉,宝宝 受凉,338,受凉 宝宝
339,宝宝消化不良怎么办？,宝宝/nr 消化不良/l,宝宝 消化不良,消化不良 宝宝,宝宝 消化不良,消化不良 宝宝,339,消化不良 宝宝
340,可以吃火龙果吗？,吃/v 火龙果/n,吃 火龙果,火龙果,火龙果,,340,火龙果 吃
341,吃火龙果有什么好处吗？,吃/v 火龙果/n 好处/d,吃 火龙果 好处,火龙果 好处,火龙果 好处,火龙果 好处,341,火龙果 好处 吃
342,宝宝消化不良要吃益生菌吗？,宝宝/nr 消化不良/l 吃/v 益生菌/nr,宝宝 消化不良 吃 益生菌,益生菌 消化不良 宝宝,宝宝 消化不良 益生菌,消化不良 益生菌 宝宝,342,吃 消化不良 益生菌 宝宝
343,新生儿肚脐结巴。,新生儿/n 肚脐/n 结巴/n,新生儿 肚脐 结巴,结巴 肚脐 新生儿,新生儿 肚脐 结巴,肚脐 结巴 新生儿,343,肚脐 结巴 新生儿
344,孕妈可以吃橘子吗？,孕妈/x 吃/v 橘子/n,孕妈 吃 橘子,孕妈 橘子,孕妈 橘子,橘子 孕妈,344,吃 橘子 孕妈
345,宝宝拉绿屎怎么办？,宝宝/nr 拉/v 绿屎/x,宝宝 拉 绿屎,绿屎 宝宝,宝宝 绿屎,绿屎 宝宝,345,拉 绿屎 宝宝
346,宝宝感冒怎么办？,宝宝/nr 感冒/v,宝宝 感冒,宝宝 感冒,宝宝 感冒,感冒 宝宝,346,感冒 宝宝
347,见红了就意味着要生了吗？,见红/x 意味着/v 要生/v,见红 意味着 要生,见红 要生 意味着,见红 意味着 要生,见红 要生 意味着,347,意味着 要生 见红
348,收工是什么感觉？,收工/n 感觉/n,收工 感觉,收工 感觉,感觉 收工,收工 感觉,348,感觉 收工
349,请问化验时有小小便有那个小便隐血，有三个家需要注意些什么？,请问/v 化验/n 时/ng 有/v 小小/b 便/d 小便/nr 隐血/v 三个/m 家/q 些/q,请问 化验 时有 小小 便 小便 隐血 三个 家 些,隐血 化验 小便 小小 时有 请问 三个,化验 小便 三个 隐血 请问 时有 小小,小便 请问 化验 隐血,349,小便 便 隐血 小小 三个 时有 家 化验 些 请问
350,收工是什么感觉？,收工/n 感觉/n,收工 感觉,收工 感觉,感觉 收工,收工 感觉,350,感觉 收工
351,胎动是什么感觉？,胎动/n 感觉/n,胎动 感觉,胎动 感觉,胎动 感觉,胎动 感觉,351,感觉 胎动
352,益生菌和妈咪爱有什么区别？,益生菌/nr 妈咪/n 爱/v 有/v 区别/n,益生菌 妈咪 爱有 区别,益生菌 爱有 妈咪 区别,益生菌 妈咪 区别 爱有,益生菌 妈咪,352,爱有 妈咪 区别 益生菌
353,化验小便时那个，而且有三个加那个需要注意什么？,化验/n 小便/nr 三个/m 加/v,化验 小便 三个 加,化验 小便 三个,化验 三个 小便,小便 化验 三个,353,三个 小便 加 化验
354,宝宝咳嗽怎么办？,宝宝/nr 咳嗽/v,宝宝 咳嗽,宝宝 咳嗽,宝宝 咳嗽,宝宝 咳嗽,354,咳嗽 宝宝
355,通气鼻贴。,通气/n 鼻贴/n,通气 鼻贴,鼻贴 通气,通气 鼻贴,鼻贴 通气,355,鼻贴 通气
356,老婆三个月了，肚子还不大。,老婆/n 三个月/x 肚子/n 不/d 大/a,老婆 三个月 肚子 不大,三个月 肚子 老婆,三个月 肚子 老婆 不大,肚子 老婆 三个月,356,肚子 三个月 不大 老婆
357,三个月了，肚子还不大。,三个月/x 肚子/n 不/d 大/a,三个月 肚子 不大,三个月 肚子,三个月 肚子 不大,肚子 三个月,357,肚子 不大 三个月
358,胎盘低置要怎么办？,胎盘低/x 置/v,胎盘低 置,胎盘低,胎盘低,,358,置 胎盘低
359,宫缩是什么样子？,宫缩/x 样子/n,宫缩 样子,宫缩 样子,样子 宫缩,样子 宫缩,359,样子 宫缩
360,孕妇可以喝姜茶吗？,孕妇/n 喝/vg 姜茶/nr,孕妇 喝 姜茶,姜茶 孕妇,孕妇 姜茶,孕妇 姜茶,360,喝 姜茶 孕妇
361,黄酮高。,黄酮/n 高/a,黄酮 高,黄酮,黄酮,,361,高 黄酮
362,胎盘低置要怎么办？,胎盘低/x 置/v,胎盘低 置,胎盘低,胎盘低,,362,置 胎盘低
363,孕妇可以喝奶茶吗？,孕妇/n 喝/vg 奶茶/n,孕妇 喝 奶茶,奶茶 孕妇,孕妇 奶茶,孕妇 奶茶,363,喝 奶茶 孕妇
364,宫缩是什么样子？,宫缩/x 样子/n,宫缩 样子,宫缩 样子,样子 宫缩,样子 宫缩,364,样子 宫缩
365,孕妇可以喝姜茶吗？,孕妇/n 喝/vg 姜茶/nr,孕妇 喝 姜茶,姜茶 孕妇,孕妇 姜茶,孕妇 姜茶,365,喝 姜茶 孕妇
366,黄酮高。,黄酮/n 高/a,黄酮 高,黄酮,黄酮,,366,高 黄酮
367,八个月了，肚子一跳一跳的是怎么回事？,八个月/x 肚子/n 一/m 跳/v 跳/v 怎么回事/l,八个月 肚子 一跳 跳 怎么回事,八个月 一跳 怎么回事 肚子,怎么回事 肚子 八个月 一跳,肚子 八个月,367,一跳 跳 肚子 怎么回事 八个月
368,去胎毒怎么吃什么好？,胎毒/n 吃/v 好/a,胎毒 吃 好,胎毒,胎毒,,368,吃 好 胎毒
369,去开毒吃什么比较好？,开毒/v 吃/v 好/a,开毒 吃 好,开毒,开毒,,369,吃 好 开毒
370,宝宝发烧多少度可以去看医生？,宝宝/nr 发烧/v 多少度/m 医生/n,宝宝 发烧 多少度 医生,多少度 发烧 宝宝 医生,宝宝 发烧 医生 多少度,多少度 发烧 宝宝 医生,370,多少度 发烧 医生 宝宝
371,哺乳期可以吃折耳根吗？,哺乳期/n 吃/v 折/v 耳根/n,哺乳期 吃 折 耳根,哺乳期 耳根,哺乳期 耳根,,371,折 吃 耳根 哺乳期
372,乳期可以吃折儿炒吗？,乳期/n 吃/v 折儿/n 炒/v,乳期 吃 折儿 炒,乳期 折儿,折儿 乳期,折儿 乳期,372,折儿 吃 炒 乳期
373,一个月以后婴儿喝什么奶好？,一个月/m 婴儿/n 喝/vg 奶/n 好/a,一个月 婴儿 喝 奶好,奶好 婴儿 一个月,婴儿 一个月 奶好,婴儿 一个月,373,喝 婴儿 奶好 一个月
374,宝妈产后虚弱怎么办？,宝妈/nr 产后/n 虚弱/a,宝妈 产后 虚弱,宝妈 产后 虚弱,产后 虚弱 宝妈,虚弱 宝妈 产后,374,产后 虚弱 宝妈
375,宝妈产后虚弱怎么办？,宝妈/nr 产后/n 虚弱/a,宝妈 产后 虚弱,宝妈 产后 虚弱,产后 虚弱 宝妈,虚弱 宝妈 产后,375,产后 虚弱 宝妈
376,产后虚弱怎么办？,产后/n 虚弱/a,产后 虚弱,产后 虚弱,产后 虚弱,虚弱 产后,376,虚弱 产后
377,怀孕期间乳房胀痛是什么原因？,怀孕/v 期间/f 乳房/n 胀痛/v 原因/n,怀孕 期间 乳房 胀痛 原因,胀痛 乳房 怀孕 期间 原因,怀孕 期间 原因 乳房 胀痛,乳房 胀痛 期间 原因,377,乳房 胀痛 期间 原因 怀孕
378,宫缩是怎么回事？,宫缩/x 怎么回事/l,宫缩 怎么回事,宫缩 怎么回事,怎么回事 宫缩,怎么回事 宫缩,378,怎么回事 宫缩
379,你说是怎么回事？,怎么回事/l,怎么回事,怎么回事,怎么回事,,379,怎么回事
380,宫缩是怎么？,宫缩/x,宫缩,宫缩,宫缩,,380,宫缩
381,怀孕期间乳房胀痛是什么原因？,怀孕/v 期间/f 乳房/n 胀痛/v 原因/n,怀孕 期间 乳房 胀痛 原因,胀痛 乳房 怀孕 期间 原因,怀孕 期间 原因 乳房 胀痛,乳房 胀痛 期间 原因,381,乳房 胀痛 期间 原因 怀孕
382,怀孕期间乳房胀痛是怎么回事？,怀孕/v 期间/f 乳房/n 胀痛/v 怎么回事/l,怀孕 期间 乳房 胀痛 怎么回事,胀痛 乳房 怀孕 怎么回事 期间,怀孕 怎么回事 期间 乳房 胀痛,乳房 胀痛 期间 怎么回事,382,乳房 胀痛 期间 怎么回事 怀孕
383,房有硬块怎么办？,房/n 有/v 硬块/n,房有 硬块,房有 硬块,硬块 房有,,383,硬块 房有
